page_slug,category_raw,occurrence,correct_category,note
golyamsechkorun-04-results,Пишлемета - 1000м,1,Пишлемета 1000м Момчета,"audit 2026-08-22, 3 rows, file was golyamsechkorun-04-results__пишлемета-1000м.json"
golyamsechkorun-04-results,Пишлемета - 1000м,2,Пишлемета 1000м Момичета,"audit 2026-08-22, 4 rows, file was golyamsechkorun-04-results__пишлемета-1000м-2.json"
iran-run-results15,5.2КМ ЖЕНИ,1,5.2КМ МЪЖЕ,"audit 2026-08-22, 13 rows, file was iran-run-results15__52км-жени.json"
iran-run-results15,5.2КМ ЖЕНИ,2,5.2КМ ЖЕНИ,"audit 2026-08-22, 8 rows, file was iran-run-results15__52км-жени-2.json"
results-iran-run15,5.2КМ ЖЕНИ,2,5.2КМ ЖЕНИ,"audit 2026-08-22, 8 rows, file was results-iran-run15__52км-жени-2.json"
baba-marta-run19-ranking,6KM,2,6KM ЖЕНИ,"audit 2026-08-22, 19 rows, file was baba-marta-run19-ranking__6km-mixed-2.json"
iran-run-results16,,1,16.7KM Мъже,"audit 2026-08-22, 27 rows, file was iran-run-results16__all.json"
iran-run-results16,,2,16.7KM Жени,"audit 2026-08-22, 7 rows, file was iran-run-results16__all-2.json"
iran-run-results16,,3,11.5КМ Мъже,"audit 2026-08-22, 36 rows, file was iran-run-results16__all-3.json"
iran-run-results16,,4,11.5КМ Жени,"audit 2026-08-22, 12 rows, file was iran-run-results16__all-4.json"
iran-run-results16,,5,5.2км Мъже,"audit 2026-08-22, 16 rows, file was iran-run-results16__all-5.json"
iran-run-results16,,6,5.2км Жени,"audit 2026-08-22, 14 rows, file was iran-run-results16__all-6.json"
iran-run-results16,,7,Деца 1000м Момчета,"audit 2026-08-22, 18 rows, file was iran-run-results16__all-7.json"
iran-run-results16,,8,Деца 1000м Момичета,"audit 2026-08-22, 11 rows, file was iran-run-results16__all-8.json"
iran-run17-ranking,16.7КМ,2,16.7КМ Жени,"audit 2026-08-22, 9 rows, file was iran-run17-ranking__167км-2.json"
iran-run17-ranking,11.5КМ,2,11.5КМ Жени,"audit 2026-08-22, 15 rows, file was iran-run17-ranking__115км-2.json"
iran-run17-ranking,5.2КМ,2,5.2КМ Жени,"audit 2026-08-22, 9 rows, file was iran-run17-ranking__52км-2.json"
iran-run18-results,16.7KM,2,16.7KM Жени,"audit 2026-08-22, 16 rows, file was iran-run18-results__167km-2.json"
iran-run18-results,11.5KM,2,11.5KM Жени,"audit 2026-08-22, 20 rows, file was iran-run18-results__115km-2.json"
iran-run18-results,5.2KM,2,5.2KM Жени,"audit 2026-08-22, 10 rows, file was iran-run18-results__52km-2.json"
iran-run19-results,,1,16KM Мъже,"audit 2026-08-22, 16 rows, file was iran-run19-results__all.json"
iran-run19-results,,2,16KM Жени,"audit 2026-08-22, 14 rows, file was iran-run19-results__all-2.json"
iran-run19-results,,3,11KM Мъже,"audit 2026-08-22, 28 rows, file was iran-run19-results__all-3.json"
iran-run19-results,,4,11KM Жени,"audit 2026-08-22, 21 rows, file was iran-run19-results__all-4.json"
iran-run19-results,,5,5KM Мъже,"audit 2026-08-22, 25 rows, file was iran-run19-results__all-5.json"
iran-run19-results,,6,5KM Жени,"audit 2026-08-22, 11 rows, file was iran-run19-results__all-6.json"
lyulin-trail-run17-results,,1,17КМ Мъже,"audit 2026-08-22, 24 rows, file was lyulin-trail-run17-results__all.json"
lyulin-trail-run17-results,,2,17КМ Жени,"audit 2026-08-22, 8 rows, file was lyulin-trail-run17-results__all-2.json"
lyulin-trail-run17-results,,3,11.5КМ Мъже,"audit 2026-08-22, 22 rows, file was lyulin-trail-run17-results__all-3.json"
lyulin-trail-run17-results,,4,11.5КМ Жени,"audit 2026-08-22, 7 rows, file was lyulin-trail-run17-results__all-4.json"
lyulin-trail-run17-results,,5,5.5КМ Мъже,"audit 2026-08-22, 8 rows, file was lyulin-trail-run17-results__all-5.json"
lyulin-trail-run17-results,,6,5.5КМ Жени,"audit 2026-08-22, 5 rows, file was lyulin-trail-run17-results__all-6.json"
palakaria-2017-ranking,21.5км,2,21.5КМ ЖЕНИ,"audit 2026-08-22, 6 rows, file was palakaria-2017-ranking__215км-2.json"
palakaria-2017-ranking,10.75КМ,1,10.75КМ ЖЕНИ,"audit 2026-08-22, 11 rows, file was palakaria-2017-ranking__1075км.json"
palakaria-2017-ranking,10.75КМ,2,10.75КМ МЪЖЕ,"audit 2026-08-22, 7 rows, file was palakaria-2017-ranking__1075км-2.json"
palakaria-2017-ranking,5KM,1,5КМ ЖЕНИ,"audit 2026-08-22, 3 rows, file was palakaria-2017-ranking__5km.json"
palakaria-2017-ranking,5KM,2,5КМ МЪЖЕ,"audit 2026-08-22, 9 rows, file was palakaria-2017-ranking__5km-2.json"
palakaria-2018-ranking,21.5КМ,2,21.5КМ ЖЕНИ,"audit 2026-08-22, 7 rows, file was palakaria-2018-ranking__215км-2.json"
palakaria-2018-ranking,10.75КМ,2,10.75КМ ЖЕНИ,"audit 2026-08-22, 6 rows, file was palakaria-2018-ranking__1075км-2.json"
palakaria-2018-ranking,5КМ,2,5КМ ЖЕНИ,"audit 2026-08-22, 7 rows, file was palakaria-2018-ranking__5км-2.json"
palakaria16-results,21KM,2,21КМ ЖЕНИ,"audit 2026-08-22, 4 rows, file was palakaria16-results__21km-2.json"
palakaria16-results,10.75KM,1,10.75КМ ЖЕНИ,"audit 2026-08-22, 9 rows, file was palakaria16-results__1075km.json"
palakaria16-results,10.75KM,2,10.75КМ МЪЖЕ,"audit 2026-08-22, 19 rows, file was palakaria16-results__1075km-2.json"
palakaria16-results,5KM,1,5КМ ЖЕНИ,"audit 2026-08-22, 2 rows, file was palakaria16-results__5km.json"
palakaria16-results,5KM,2,5КМ МЪЖЕ,"audit 2026-08-22, 5 rows, file was palakaria16-results__5km-2.json"
palakaria19-ranking,21KM,2,21КМ ЖЕНИ,"audit 2026-08-22, 10 rows, file was palakaria19-ranking__21km-2.json"
palakaria19-ranking,10.75KM,2,10.75КМ ЖЕНИ,"audit 2026-08-22, 15 rows, file was palakaria19-ranking__1075km-2.json"
palakaria19-ranking,5КМ,2,5КМ ЖЕНИ,"audit 2026-08-22, 2 rows, file was palakaria19-ranking__5км-2.json"
pancharevo-night-run18-ranking,СМЕСЕНА ЩАФЕТА,2,6.5КМ ИНДИВИДУАЛНО МЪЖЕ,"audit 2026-08-22, 32 rows, file was pancharevo-night-run18-ranking__смесена-щафета-2.json"
pancharevo-night-run18-ranking,СМЕСЕНА ЩАФЕТА,3,6.5КМ ИНДИВИДУАЛНО ЖЕНИ,"audit 2026-08-22, 13 rows, file was pancharevo-night-run18-ranking__смесена-щафета-3.json"
pancharevo-night-run19-ranking,6 КМ - Индивидуално,1,6 КМ - Индивидуално Мъже,"audit 2026-08-22, 27 rows, file was pancharevo-night-run19-ranking__6-км-индивидуално.json"
pancharevo-night-run19-ranking,6 КМ - Индивидуално,2,6 КМ - Индивидуално Жени,"audit 2026-08-22, 8 rows, file was pancharevo-night-run19-ranking__6-км-индивидуално-2.json"
pancharevo-night-run21-резултати,,2,Мъжки отбори,"audit 2026-08-22, 3 rows, file was pancharevo-night-run21-резултати__all-2.json"
pancharevo-night-run21-резултати,,3,Женски отбори,"audit 2026-08-22, 2 rows, file was pancharevo-night-run21-резултати__all-3.json"
pasare-results,,1,ЖЕНИ – КЪСА ДИСТАНЦИЯ,"audit 2026-08-22, 18 rows, file was pasare-results__all.json"
pasare-results,,2,ЖЕНИ – ДЪЛГА ДИСТАНЦИЯ,"audit 2026-08-22, 10 rows, file was pasare-results__all-2.json"
pasare-results,,3,МЪЖЕ – КЪСА ДИСТАНЦИЯ,"audit 2026-08-22, 25 rows, file was pasare-results__all-3.json"
pasare-results,,4,МЪЖЕ – ДЪЛГА ДИСТАНЦИЯ,"audit 2026-08-22, 58 rows, file was pasare-results__all-4.json"
results-iran-run15,5.2КМ ЖЕНИ,1,5.2КМ МЪЖЕ,"audit 2026-08-22, 13 rows, file was results-iran-run15__52км-жени.json"
runbg-trail-series-железница-13-октомври-класиране,Класиране мъже,2,Крайно класиране,"audit 2026-08-22, 70 rows, file was runbg-trail-series-железница-13-октомври-класиране__класиране-мъже-2.json"
september-run-2,Мъже,1,20км Мъже,"audit 2026-08-22, 16 rows, file was september-run-2__мъже.json"
september-run-2,Мъже,2,5км Мъже,"audit 2026-08-22, 6 rows, file was september-run-2__мъже-2.json"
september-run-2,Жени,1,20км Жени,"audit 2026-08-22, 7 rows, file was september-run-2__жени.json"
september-run-2,Жени,2,5км Жени,"audit 2026-08-22, 8 rows, file was september-run-2__жени-2.json"
simeonovo-run16-ranking,19.5km RANK,1,19.5km Мъже,"audit 2026-08-22, 43 rows, file was simeonovo-run16-ranking__195km-rank.json"
simeonovo-run16-ranking,19.5km RANK,2,19.5km Жени,"audit 2026-08-22, 11 rows, file was simeonovo-run16-ranking__195km-rank-2.json"
simeonovo-run16-ranking,11km RANK,1,11km Жени,"audit 2026-08-22, 14 rows, file was simeonovo-run16-ranking__11km-rank.json"
simeonovo-run16-ranking,11km RANK,2,11km Мъже,"audit 2026-08-22, 33 rows, file was simeonovo-run16-ranking__11km-rank-2.json"
simeonovo-run16-ranking,5km RANK,1,5km Жени,"audit 2026-08-22, 10 rows, file was simeonovo-run16-ranking__5km-rank.json"
simeonovo-run16-ranking,5km RANK,2,5km Мъже,"audit 2026-08-22, 10 rows, file was simeonovo-run16-ranking__5km-rank-2.json"
simeonovo-run17-results,19.5KM,1,19.5KM Мъже,"audit 2026-08-22, 26 rows, file was simeonovo-run17-results__195km.json"
simeonovo-run17-results,19.5KM,2,19.5KM Жени,"audit 2026-08-22, 9 rows, file was simeonovo-run17-results__195km-2.json"
simeonovo-run17-results,11KM,1,11KM Мъже,"audit 2026-08-22, 30 rows, file was simeonovo-run17-results__11km-mixed.json"
simeonovo-run17-results,11KM,2,11KM Жени,"audit 2026-08-22, 11 rows, file was simeonovo-run17-results__11km-mixed-2.json"
simeonovo-run17-results,5KM,1,5KM Мъже,"audit 2026-08-22, 8 rows, file was simeonovo-run17-results__5km.json"
simeonovo-run17-results,5KM,2,5KM Жени,"audit 2026-08-22, 6 rows, file was simeonovo-run17-results__5km-2.json"
simeonovo-run18-results,19.5KM,1,19.5KM Мъже,"audit 2026-08-22, 45 rows, file was simeonovo-run18-results__195km.json"
simeonovo-run18-results,19.5KM,2,19.5KM Жени,"audit 2026-08-22, 13 rows, file was simeonovo-run18-results__195km-2.json"
simeonovo-run18-results,11КМ,1,11КМ Мъже,"audit 2026-08-22, 29 rows, file was simeonovo-run18-results__11км.json"
simeonovo-run18-results,11КМ,2,11КМ Жени,"audit 2026-08-22, 19 rows, file was simeonovo-run18-results__11км-2.json"
simeonovo-run18-results,5.8КМ,1,5.8КМ Мъже,"audit 2026-08-22, 13 rows, file was simeonovo-run18-results__58км.json"
simeonovo-run19-ranking,19.KM,1,19.5KM Мъже,"audit 2026-08-22, 21 rows, file was simeonovo-run19-ranking__19km.json"
simeonovo-run19-ranking,19.KM,2,19.5KM Жени,"audit 2026-08-22, 6 rows, file was simeonovo-run19-ranking__19km-2.json"
simeonovo-run19-ranking,11 KM,1,11KM Мъже,"audit 2026-08-22, 16 rows, file was simeonovo-run19-ranking__11-km.json"
simeonovo-run19-ranking,11 KM,2,11KM Жени,"audit 2026-08-22, 19 rows, file was simeonovo-run19-ranking__11-km-2.json"
simeonovo-run19-ranking,5.8KM,1,5.8KM Мъже,"audit 2026-08-22, 21 rows, file was simeonovo-run19-ranking__58km.json"
simeonovo-run19-ranking,5.8KM,2,5.8KM Жени,"audit 2026-08-22, 7 rows, file was simeonovo-run19-ranking__58km-2.json"
the-cactus-run-results14,1000м Деца,1,1000м Деца Момичета,"audit 2026-08-22, 9 rows, file was the-cactus-run-results14__1000м-деца.json"
the-cactus-run-results14,1000м Деца,2,1000м Деца Момчета,"audit 2026-08-22, 14 rows, file was the-cactus-run-results14__1000м-деца-2.json"
lyulin-trail-run18-ranking,KIDS RUN,1,KIDS RUN Момчета,"audit 2026-08-22, 8 rows, file was lyulin-trail-run18-ranking__kids-run.json"
lyulin-trail-run18-ranking,KIDS RUN,2,KIDS RUN Момичета,"audit 2026-08-22, 5 rows, file was lyulin-trail-run18-ranking__kids-run-2.json"
lyulin-trail-run19-ranking,17KM,2,17KM Жени,"audit 2026-08-22, 11 rows, file was lyulin-trail-run19-ranking__17km-2.json"
lyulin-trail-run19-ranking,11.5KM,2,11.5KM Жени,"audit 2026-08-22, 12 rows, file was lyulin-trail-run19-ranking__115km-2.json"
lyulin-trail-run19-ranking,5.5KM,2,5.5KM Жени,"audit 2026-08-22, 14 rows, file was lyulin-trail-run19-ranking__5.5km-mixed-2.json"
malak-sechko-run-ranking16,Малчугани,1,Малчугани момчета,"audit 2026-08-22, 3 rows, file was malak-sechko-run-ranking16__малчугани.json"
malak-sechko-run-ranking16,Малчугани,2,Малчугани момичета,"audit 2026-08-22, 1 rows, file was malak-sechko-run-ranking16__малчугани-2.json"
malak-sechko-run17-results,19KM,2,19KM Жени,"audit 2026-08-22, 8 rows, file was malak-sechko-run17-results__19km-2.json"
malak-sechko-run17-results,13KM,2,13KM Жени,"audit 2026-08-22, 18 rows, file was malak-sechko-run17-results__13km-2.json"
malak-sechko-run17-results,6KM,2,6KM Жени,"audit 2026-08-22, 8 rows, file was malak-sechko-run17-results__6km-mixed-2.json"
malak-sechko-run18-ranking,жени,1,19KM ЖЕНИ,"audit 2026-08-22, 15 rows, file was malak-sechko-run18-ranking__жени.json"
malak-sechko-run18-ranking,жени,2,13KM ЖЕНИ,"audit 2026-08-22, 12 rows, file was malak-sechko-run18-ranking__жени-2.json"
malak-sechko-run18-ranking,жени,3,6KM ЖЕНИ,"audit 2026-08-22, 18 rows, file was malak-sechko-run18-ranking__жени-3.json"
malak-sechko-run19-ranking,13КМ Мъже,2,13КМ Жени,"audit 2026-08-22, 12 rows, file was malak-sechko-run19-ranking__13km-m-2.json"
maliovitsa-skyrun-4-август,позиция,1,Класиране жени 14км,"audit 2026-08-22, 7 rows, file was maliovitsa-skyrun-4-август__позиция.json"
maliovitsa-skyrun-4-август,позиция,2,Класиране мъже 14км,"audit 2026-08-22, 16 rows, file was maliovitsa-skyrun-4-август__позиция-2.json"
maliovitsa-skyrun-4-август,позиция,3,Класиране мъже 19км,"audit 2026-08-22, 57 rows, file was maliovitsa-skyrun-4-август__позиция-3.json"
maliovitsa-skyrun-4-август,позиция,4,Класиране жени 19км,"audit 2026-08-22, 13 rows, file was maliovitsa-skyrun-4-август__позиция-4.json"
7-hills-run18-results,,1,18KM МЪЖЕ,"audit 2026-08-22, 22 rows, file was 7-hills-run18-results__all.json"
7-hills-run18-results,,2,18KM ЖЕНИ,"audit 2026-08-22, 6 rows, file was 7-hills-run18-results__all-2.json"
7-hills-run18-results,,3,13KM ЖЕНИ,"audit 2026-08-22, 7 rows, file was 7-hills-run18-results__all-3.json"
7-hills-run18-results,,4,13KM МЪЖЕ,"audit 2026-08-22, 17 rows, file was 7-hills-run18-results__all-4.json"
7-hills-run18-results,,5,5KM МЪЖЕ,"audit 2026-08-22, 4 rows, file was 7-hills-run18-results__all-5.json"
7-hills-run18-results,,6,5KM ЖЕНИ,"audit 2026-08-22, 7 rows, file was 7-hills-run18-results__all-6.json"
7hills-run-2017-results,12KM,1,12KM ЖЕНИ,"audit 2026-08-22, 12 rows, file was 7hills-run-2017-results__12km.json"
7hills-run-2017-results,12KM,2,12KM МЪЖЕ,"audit 2026-08-22, 35 rows, file was 7hills-run-2017-results__12km-2.json"
7hills-run-2017-results,18KM,2,18KM ЖЕНИ,"audit 2026-08-22, 11 rows, file was 7hills-run-2017-results__18km-2.json"
7hills-run-2017-results,6KM,2,6KM ЖЕНИ,"audit 2026-08-22, 4 rows, file was 7hills-run-2017-results__6km-mixed-2.json"
7hills-run18-ranking,,1,18KM МЪЖЕ,"audit 2026-08-22, 22 rows, file was 7hills-run18-ranking__all.json"
7hills-run18-ranking,,2,18KM ЖЕНИ,"audit 2026-08-22, 6 rows, file was 7hills-run18-ranking__all-2.json"
7hills-run18-ranking,,3,13KM МЪЖЕ,"audit 2026-08-22, 17 rows, file was 7hills-run18-ranking__all-3.json"
7hills-run18-ranking,,4,13KM ЖЕНИ,"audit 2026-08-22, 7 rows, file was 7hills-run18-ranking__all-4.json"
7hills-run18-ranking,,5,5KM МЪЖЕ,"audit 2026-08-22, 4 rows, file was 7hills-run18-ranking__all-5.json"
7hills-run18-ranking,,6,5KM ЖЕНИ,"audit 2026-08-22, 7 rows, file was 7hills-run18-ranking__all-6.json"
7hills-run19-results,,2,Hardcore Edition Мъже,"audit 2026-08-22, 35 rows, file was 7hills-run19-results__all-2.json"
7hills-run19-results,,3,Hardcore Edition Жени,"audit 2026-08-22, 8 rows, file was 7hills-run19-results__all-3.json"
baba-marta-run-2017-results,16KM,2,16KM ЖЕНИ,"audit 2026-08-22, 16 rows, file was baba-marta-run-2017-results__16km-mixed-2.json"
baba-marta-run-2017-results,10KM,2,10KM ЖЕНИ,"audit 2026-08-22, 12 rows, file was baba-marta-run-2017-results__10km-2.json"
baba-marta-run-2017-results,6KM,2,6KM ЖЕНИ,"audit 2026-08-22, 6 rows, file was baba-marta-run-2017-results__6km-mixed-2.json"
baba-marta-run18-ranking,,1,16KM МЪЖЕ,"audit 2026-08-22, 39 rows, file was baba-marta-run18-ranking__all.json"
baba-marta-run18-ranking,,2,16KM ЖЕНИ,"audit 2026-08-22, 10 rows, file was baba-marta-run18-ranking__all-2.json"
baba-marta-run18-ranking,,3,10KM МЪЖЕ,"audit 2026-08-22, 15 rows, file was baba-marta-run18-ranking__all-3.json"
baba-marta-run18-ranking,,4,10KM ЖЕНИ,"audit 2026-08-22, 6 rows, file was baba-marta-run18-ranking__all-4.json"
baba-marta-run18-ranking,,5,6KM МЪЖЕ,"audit 2026-08-22, 14 rows, file was baba-marta-run18-ranking__all-5.json"
baba-marta-run18-ranking,,6,6KM ЖЕНИ,"audit 2026-08-22, 19 rows, file was baba-marta-run18-ranking__all-6.json"
bankya-summer-run-ranking,П,1,5.5КМ ЖЕНИ,"audit 2026-08-22, 12 rows, file was bankya-summer-run-ranking__п.json"
bankya-summer-run-ranking,П,2,5.5КМ МЪЖЕ,"audit 2026-08-22, 23 rows, file was bankya-summer-run-ranking__п-2.json"
bankya-summer-run-ranking,П,3,11КМ ЖЕНИ,"audit 2026-08-22, 9 rows, file was bankya-summer-run-ranking__п-3.json"
bankya-summer-run-ranking,П,4,11КМ МЪЖЕ,"audit 2026-08-22, 14 rows, file was bankya-summer-run-ranking__п-4.json"
bankya-summer-run-ranking,П,5,16.5КМ ЖЕНИ,"audit 2026-08-22, 10 rows, file was bankya-summer-run-ranking__п-5.json"
bankya-summer-run-ranking,П,6,16.5КМ МЪЖЕ,"audit 2026-08-22, 23 rows, file was bankya-summer-run-ranking__п-6.json"
birthday-run-4-ranking,(17.5KM),2,17.5KM Жени,"audit 2026-08-22, 12 rows, file was birthday-run-4-ranking__175km-2.json"
birthday-run-4-ranking,(11.5KM),2,11.5KM Жени,"audit 2026-08-22, 20 rows, file was birthday-run-4-ranking__115km-2.json"
birthday-run-4-ranking,(5.5KM),2,5.5KM Жени,"audit 2026-08-22, 8 rows, file was birthday-run-4-ranking__55km-2.json"
birthday-run17-results,17.5KM,2,17.5KM Жени,"audit 2026-08-22, 15 rows, file was birthday-run17-results__175km-2.json"
birthday-run17-results,11KM,2,11KM Жени,"audit 2026-08-22, 15 rows, file was birthday-run17-results__11km-mixed-2.json"
birthday-run17-results,5.5KM,2,5.5KM Жени,"audit 2026-08-22, 14 rows, file was birthday-run17-results__5.5km-mixed-2.json"
birthday-run18-results,17.5KM,2,17.5KM Жени,"audit 2026-08-22, 10 rows, file was birthday-run18-results__175km-2.json"
birthday-run18-results,11KM,2,11KM Жени,"audit 2026-08-22, 7 rows, file was birthday-run18-results__11km-mixed-2.json"
birthday-run18-results,5.5KM,2,5.5KM Жени,"audit 2026-08-22, 9 rows, file was birthday-run18-results__5.5km-mixed-2.json"
birthday-run19-ranking,16KM,2,16KM Жени,"audit 2026-08-22, 9 rows, file was birthday-run19-ranking__16km-mixed-2.json"
birthday-run19-ranking,11KM,2,11KM Жени,"audit 2026-08-22, 3 rows, file was birthday-run19-ranking__11km-mixed-2.json"
birthday-run19-ranking,5.5KM,2,5.5KM Жени,"audit 2026-08-22, 7 rows, file was birthday-run19-ranking__5.5km-mixed-2.json"
birthday-run2-results,,1,15КМ мъже,"audit 2026-08-22, 29 rows, file was birthday-run2-results__all.json"
birthday-run2-results,,2,15КМ жени,"audit 2026-08-22, 22 rows, file was birthday-run2-results__all-2.json"
birthday-run2-results,,3,10КМ мъже,"audit 2026-08-22, 29 rows, file was birthday-run2-results__all-3.json"
birthday-run2-results,,4,10КМ жени,"audit 2026-08-22, 8 rows, file was birthday-run2-results__all-4.json"
birthday-run2-results,,5,5КМ мъже,"audit 2026-08-22, 18 rows, file was birthday-run2-results__all-5.json"
birthday-run2-results,,6,5КМ жени,"audit 2026-08-22, 20 rows, file was birthday-run2-results__all-6.json"
birthday-run2-results,,7,1КМ деца момчета,"audit 2026-08-22, 6 rows, file was birthday-run2-results__all-7.json"
birthday-run2-results,,8,1КМ деца момичета,"audit 2026-08-22, 6 rows, file was birthday-run2-results__all-8.json"
buhovorun-ranking-2014,P,1,15км жени,"audit 2026-08-22, 6 rows, file was buhovorun-ranking-2014__p.json"
buhovorun-ranking-2014,P,2,15км мъже,"audit 2026-08-22, 14 rows, file was buhovorun-ranking-2014__p-2.json"
buhovorun-ranking-2014,P,3,10км жени,"audit 2026-08-22, 9 rows, file was buhovorun-ranking-2014__p-3.json"
buhovorun-ranking-2014,P,4,10км мъже,"audit 2026-08-22, 12 rows, file was buhovorun-ranking-2014__p-4.json"
buhovorun-ranking-2014,P,5,5км жени,"audit 2026-08-22, 7 rows, file was buhovorun-ranking-2014__p-5.json"
buhovorun-ranking-2014,P,6,5км мъже,"audit 2026-08-22, 13 rows, file was buhovorun-ranking-2014__p-6.json"
cactus-run-2016-ranking,21КМ,2,21КМ жени,"audit 2026-08-22, 17 rows, file was cactus-run-2016-ranking__21км-2.json"
cactus-run-2016-ranking,21КМ,3,10КМ мъже,"audit 2026-08-22, 41 rows, file was cactus-run-2016-ranking__21км-3.json"
cactus-run-2016-ranking,7КМ,2,7КМ жени,"audit 2026-08-22, 22 rows, file was cactus-run-2016-ranking__7км-2.json"
the-cactus-run17-ranking,20KM,2,20KM Жени,"audit 2026-08-22, 12 rows, file was the-cactus-run17-ranking__20km-2.json"
the-cactus-run17-ranking,13.5KM,2,13.5KM Жени,"audit 2026-08-22, 17 rows, file was the-cactus-run17-ranking__135km-2.json"
the-cactus-run17-ranking,6.6KM,2,6.6KM Жени,"audit 2026-08-22, 29 rows, file was the-cactus-run17-ranking__66km-2.json"
the-christmas-run-2017-klasirane,15КМ,2,15КМ Жени,"audit 2026-08-22, 12 rows, file was the-christmas-run-2017-klasirane__15км-2.json"
the-christmas-run-2017-klasirane,11КМ,2,11КМ Жени,"audit 2026-08-22, 10 rows, file was the-christmas-run-2017-klasirane__11км-2.json"
